,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,label
67,2.261,5.74,-4.011,,2.675,0.456,-1.339,0.322,0.413,,-0.977,2.933,-0.534,0.816,6.6871357,2.9854,-5.9842253,G
68,1.921,1.113,2.749,0.084,-2.895,1.05,-3.528,-0.426,1.22,-1.139,3.939,2.07,2.292,5.088,-3.9843888,-1.2219391,,B
69,-5.274,1.08,-3.922,-0.979,-1.524,1.27,1.822,1.057,,-1.108,,-0.786,-0.667,1.454,-3.420573,-0.4214695,,G
70,-4.095,-3.083,2.191,0.518,5.571,,-1.373,-0.764,-1.644,0.451,-0.787,-0.756,2.302,,,1.0521305,-2.2549138,E
71,-4.977,0.532,,-2.409,-0.301,-2.107,1.114,-1.617,-0.565,-0.605,3.557,3.378,-3.241,-1.085,-8.291674,-5.1769824,9.92972,E
72,1.802,0.216,1.852,2.861,2.327,2.574,-4.228,-1.253,,0.846,-0.277,,,-0.42,5.999599,,-3.7120998,A
73,8.575,-3.871,-0.886,-4.358,0.331,-1.171,1.615,-1.034,-0.785,0.351,0.836,-0.285,1.144,-0.978,-10.493136,-4.937078,8.2818365,A
74,11.988,-3.133,-2.668,,0.149,-0.177,0.802,1.675,0.702,-0.623,,-0.064,0.908,1.039,-9.9174185,-3.948113,8.045821,A
75,-2.47,-1.421,2.179,2.468,,-0.299,-3.211,-2.365,0.706,-1.929,-0.008,0.645,1.823,,5.825195,,-4.3672543,E
76,,-3.274,-1.141,,0.56,-0.58,0.775,-1.365,-1.315,-1.174,,-1.725,-1.255,1.348,-7.21648,-3.0362432,3.880914,A
77,-1.545,,,-1.559,-1.708,4.378,-0.323,-0.75,0.484,0.821,,-1.173,-2.634,-2.198,-4.55659,1.6772956,4.268413,B
78,,,0.308,,-1.489,,2.342,-0.19,-1.432,-2.451,0.408,-0.051,-0.073,-1.124,28.202013,10.896522,-19.787003,A
79,-0.532,1.554,3.941,-0.349,-2.978,-1.122,1.358,-1.752,1.639,4.093,-0.344,-2.764,2.748,-1.191,-0.085869074,-0.8354435,,A
80,-2.33,-2.152,-0.45,5.043,-2.937,-2.387,2.286,,4.023,-0.767,-1.164,,2.483,-2.5,13.630119,3.4676871,-12.412352,A
81,0.947,,6.42,1.617,3.487,1.609,0.776,3.92,0.807,-0.167,0.242,-1.458,-3.025,-0.218,2.9514399,2.2935128,-1.1867573,E
82,-6.31,-2.962,0.015,-0.778,2.139,-0.042,1.233,,-0.131,0.226,,1.611,-0.017,-0.559,,-1.3382435,3.892428,E
83,-3.499,-2.767,1.735,-0.675,4.003,0.381,-1.722,-3.487,-2.443,,-0.696,-2.825,-0.582,-0.217,-1.0207417,-0.0034434795,,E
84,0.579,,,6.138,-0.122,-0.221,2.684,-0.971,7.596,-2.29,0.465,,0.097,-0.116,13.836668,4.968548,-9.535405,A
85,6.646,-0.033,1.648,,-1.781,-2.774,1.744,-0.777,,-1.458,0.057,-0.481,0.543,-1.245,19.527212,5.2288957,-15.231372,A
86,,2.404,1.939,-2.721,-3.572,2.788,0.772,,-2.508,-0.529,-0.296,-0.437,0.11,-2.887,,-0.47384343,5.790029,A
87,-5.846,-0.258,1.144,,-1.472,-1.257,3.955,0.06,,2.522,1.806,0.741,-1.576,0.274,-4.804572,-2.9934435,5.3999515,B
88,2.841,7.733,-3.562,2.326,1.402,-0.301,,1.305,0.362,0.987,,-0.087,-0.903,0.517,7.158088,2.6881652,-7.6199512,G
89,-1.211,3.023,-1.028,1.615,3.389,,2.057,-0.031,-0.338,1.946,2.22,0.398,1.88,-0.386,1.3733065,0.693426,2.201905,G
90,-5.086,1.885,-5.064,-2.059,-0.656,2.919,-0.281,,,0.3,2.365,-0.709,1.376,-0.772,-8.0692835,-1.1351043,,G
91,5.747,-1.907,1.59,3.626,0.648,1.671,-1.248,-0.567,0.138,0.314,5.103,,-3.209,0.238,2.873281,1.6699214,5.3633595,B
92,-0.238,0.579,4.55,-1.203,6.384,0.741,-2.7,-0.171,0.864,-2.016,-0.266,-1.233,,0.294,-2.7843902,-0.450313,1.9657638,E
93,-1.047,-2.242,1.936,-0.971,-1.781,3.932,1.211,-2.157,0.755,0.697,-2.309,1.886,,-2.776,-1.3748739,2.761887,-0.5121789,B
94,-4.667,,2.224,-2.742,0.737,-2.146,2.373,-2.506,-1.899,-0.493,,3.882,-2.244,,-7.2777405,-4.5844173,6.742689,E
95,,-1.832,,-1.809,-0.173,-2.064,0.517,3.782,-0.474,2.054,,,,,-3.1500835,-2.7002347,1.0296361,E
96,2.918,8.79,,3.493,1.73,-1.679,0.776,-1.04,0.206,1.337,-3.914,-0.753,,,,3.9261737,-14.939278,G
97,,3.429,,-2.781,,-1.523,-2.093,2.366,,-1.382,-0.082,0.586,0.06,-0.83,-5.831047,-3.331148,,B
98,-1.551,-0.099,4.726,-1.436,,-2.109,0.953,-3.546,,-0.798,-0.098,1.153,1.11,,,-2.520539,0.8504771,E
99,,3.968,1.544,-4.2,-2.647,-0.445,-0.098,0.889,-1.519,-1.92,1.971,-2.099,2.836,,-11.478252,-4.907713,10.79698,B
100,1.877,1.291,6.963,2.571,4.548,2.956,,2.144,1.907,,-0.464,-0.166,0.055,-1.474,5.3768854,4.3163476,-3.356329,E
101,5.605,-2.11,0.862,12.445,-0.644,-1.065,,-1.376,-1.818,-2.479,1.353,-0.338,0.16,-0.742,,9.484339,,A
102,0.394,1.952,4.945,-1.344,-1.202,1.527,1.697,1.405,1.014,-0.562,,,-0.203,3.19,,,0.92432666,B
103,-7.842,-3.256,,-0.186,3.805,0.383,-0.36,1.13,,-1.003,-0.784,-1.915,1.674,,,0.46664345,,E
104,-5.779,-3.688,-2.745,1.385,-3.051,,-2.579,0.698,-0.36,,-1.361,-0.408,-2.33,,5.303206,0.47273898,-6.560532,A
105,1.509,0.132,2.157,3.021,2.86,0.56,-3.156,1.675,-0.654,1.713,0.68,3.895,1.59,-0.748,,2.6405218,-3.34089,A
106,2.466,8.555,-2.904,0.401,1.019,0.444,0.544,0.13,0.163,0.203,-1.214,0.168,0.333,1.738,,1.2284,-2.8581347,G
107,-4.133,,0.697,,-4.276,-3.418,0.535,1.308,-0.047,,,-1.379,-0.888,1.444,-3.5596473,-4.0094523,2.1157396,A
108,-4.12,-3.08,-3.688,2.614,-2.492,,,1.739,-0.869,-0.006,-0.618,1.079,0.276,,5.9732895,3.8021042,-4.393148,A
109,6.539,-2.059,-1.263,-2.591,-0.288,-4.772,-1.527,-0.494,-1.092,-2.306,-1.427,-0.724,-0.016,0.32,,-4.533435,-1.6373703,A
110,5.062,8.103,-2.339,2.135,3.755,-2.318,0.437,-0.528,,3.062,-2.815,-1.022,,1.877,8.472707,1.800513,-10.829861,G
111,3.098,,-1.723,-3.153,-0.71,-3.036,-1.553,1.19,-0.095,-0.447,-1.27,1.622,2.2,-2.004,,,0.75544167,A
112,9.012,-1.626,0.577,-2.841,-1.124,-2.548,0.555,1.621,,-1.902,-0.042,-1.089,0.498,0.654,-5.6533623,-4.044887,3.04602,A
113,-7.212,-4.151,,0.9,0.183,0.702,-1.54,2.174,,0.205,,1.208,-1.083,1.288,2.261567,1.4377304,-1.9456556,E
114,1.136,4.365,4.442,-1.608,0.184,-2.119,,-2.961,-3.025,-1.035,1.027,3.273,-1.399,-2.325,-3.9828107,-3.233974,3.4234262,B
115,-1.151,0.243,6.193,,5.255,2.061,-1.147,2.479,1.231,-0.587,,0.311,0.39,-0.416,4.3092146,3.4228346,-4.7950616,E
116,,-1.921,0.318,-1.916,,-0.682,3.471,-1.21,-1.174,-0.289,1.156,,0.218,0.645,-5.3189716,-2.666052,5.1373777,E
117,,,0.657,12.358,-0.663,-0.161,3.985,-0.772,,-3.23,0.591,-0.953,0.937,,28.09408,10.352356,-19.716526,A
118,-1.013,-0.062,3.007,1.06,2.016,-0.13,-2.429,4.13,0.348,-1.364,-2.123,-4.068,-0.932,0.526,4.55522,1.8926172,-6.1907415,E
119,-5.674,,-2.613,1.654,-2.954,,-2.68,-0.336,-0.511,0.998,-0.578,0.293,-1.664,0.414,,2.9199479,-2.723338,A
120,,-3.572,-1.344,0.77,1.575,-1.625,-0.743,0.999,-2.178,1.179,0.012,1.138,-0.538,0.53,2.3343782,-0.35377395,-2.3271434,E
121,,-4.642,-0.948,-2.571,1.418,,-1.372,1.168,0.145,-0.872,-1.631,,-0.165,-0.516,-3.700469,-2.641226,-0.24762654,A
122,12.166,,,,0.963,-0.864,-0.082,0.157,2.01,0.934,,,,-0.401,-6.739001,-3.2004173,4.7196336,A
123,-1.114,6.812,-5.07,0.223,0.518,-1.802,1.221,,-0.235,1.694,0.945,0.065,-0.303,-0.568,0.22575396,-1.4026871,0.37826264,G
124,-0.63,1.83,3.95,-1.667,-2.874,1.413,2.282,3.324,2.003,0.17,0.965,-2.034,-1.713,0.714,-5.2837853,-1.0432086,5.688903,B
125,,4.627,-4.412,2.901,1.33,0.81,,-0.907,-0.435,1.466,0.364,-0.652,-0.359,,6.082926,2.8493216,-3.6196802,G
126,,,-3.692,0.765,,2.295,-0.069,0.117,,-0.158,-2.367,-0.734,-0.857,0.09,3.2678945,3.2752957,,G
127,3.806,,3.184,7.882,0.851,0.987,,-1.433,0.215,0.372,2.574,-0.444,,1.369,15.412985,6.1960526,-7.3963804,A
128,-0.951,-0.924,3.893,0.738,2.347,,-0.359,2.99,1.086,0.184,-1.818,-2.728,-0.707,-0.059,,1.371913,,E
129,11.462,-3.669,,,2.291,0.003,0.396,,,-0.717,,-2.544,,-0.298,,-2.9361129,6.248671,A
130,,,1.926,-0.533,1.752,3.018,2.574,-2.721,1.643,,-0.859,0.69,0.649,3.364,,1.8518174,1.1081079,B
131,3.498,1.052,3.41,1.449,4.507,-0.085,-0.644,1.474,-1.685,4.071,3.55,-1.649,1.143,0.187,,-0.55278265,4.7296314,E
132,-3.817,-1.754,,1.637,-5.072,-2.717,-2.957,,,0.639,-1.888,-0.755,-2.266,2.03,6.5602956,0.65819114,-8.363277,A
133,2.533,7.272,,,2.137,-0.846,,-0.475,-0.305,,-0.854,0.488,,0.682,4.08376,1.0066608,-4.443161,G
134,-3.564,-3.637,-1.566,3.022,1.7,,-1.333,1.175,-2.372,2.51,0.418,-0.701,,1.42,7.3171344,1.1102434,-5.5976424,E
135,,0.432,0.619,-2.194,0.246,-3.386,0.064,1.229,-0.829,-0.041,-0.515,0.316,-1.762,-1.788,-3.4068594,-3.7724953,,E
136,-8.221,-3.903,-0.047,-0.674,2.077,-0.245,2.182,-0.522,0.669,,0.55,0.708,,0.513,-2.0081456,-1.012087,2.0956557,E
137,-3.834,-0.503,3.779,1.693,0.37,,0.174,0.599,4.059,-0.687,-1.567,-0.873,0.569,-1.851,4.745914,3.497278,-4.746793,A
138,-3.673,-0.344,3.001,,1.753,-0.302,5.162,-2.221,0.061,0.196,1.462,,-1.128,0.435,-4.756177,-2.2076347,5.2859163,E
139,-1.676,-0.302,4.324,1.531,4.708,-2.139,-1.555,0.286,-0.656,0.484,0.227,1.183,0.384,,4.0661707,-0.12040863,-3.504912,E
140,-1.226,1.017,,-2.483,2.204,,,-1.153,-1.489,0.495,-1.123,1.261,-2.339,-3.276,-3.9758997,-2.8396606,,E
141,-2.081,-0.117,2.812,0.556,3.413,0.863,-2.82,1.911,-1.146,-1.31,-0.772,-2.946,-1.411,0.533,1.7357211,1.4064348,-1.9476601,E
142,-1.985,0.073,3.687,-3.09,-6.296,0.702,0.173,-2.076,-1.313,-0.369,-1.46,0.147,0.846,2.371,-5.9831896,-1.5237913,2.6886046,B
143,-2.399,-0.683,3.419,0.065,-3.206,-2.27,-0.796,0.944,-1.251,5.304,,-1.515,1.878,-2.077,1.5272255,-1.0628433,,B
144,0.612,3.477,,1.351,2.617,-0.201,,,,,0.183,,1.803,1.033,3.0202167,0.95823467,,G
145,11.949,-2.733,-1.846,-2.612,-0.879,0.152,-0.36,2.497,,-1.356,-0.086,1.971,1.138,,,-2.133513,4.323073,B
146,-2.935,,-2.489,-2.949,-1.708,2.266,2.066,0.949,-2.322,-0.701,-1.938,-0.19,-1.008,1.334,-5.7360044,-0.18506074,2.4932787,A
147,,1.659,-5.778,-0.397,-0.999,,-0.977,-1.808,,,2.676,,-0.262,-0.347,-3.7988605,-1.1513045,6.6545186,G
148,-6.001,-4.025,,0.744,-1.835,1.595,-1.377,2.208,0.83,,-0.505,2.196,-0.503,-1.271,1.6586242,1.8958696,-1.2458102,A
149,-3.405,1.455,-2.935,-1.13,-0.282,1.074,,,-2.232,1.107,1.033,0.324,0.98,-1.462,-3.9888859,,4.702808,G
150,,1.523,4.509,1.415,0.072,5.028,-0.201,2.239,-0.605,1.805,,-0.314,-1.397,0.444,,3.6264956,3.9674633,B
151,-4.143,,-1.697,-2.934,0.333,,1.846,0.484,-1.448,-0.232,3.113,0.915,0.93,1.968,-9.94136,-3.8525999,,G
152,-1.866,-3.537,-1.255,1.885,-2.252,-3.177,-2.019,-2.506,-0.434,1.031,-0.4,0.147,-0.46,2.825,5.852814,-0.15168706,-6.0509777,A
153,12.511,-5.06,-2.929,-3.186,0.379,1.076,,1.31,1.909,0.785,-0.797,0.353,-1.02,-0.604,-6.977204,-1.7017305,4.442446,A
154,10.513,-2.64,-1.659,,-0.743,,-0.148,,0.348,-1.02,0.25,0.212,-0.574,,-4.787498,-2.3144174,3.5621436,A
155,-3.313,0.025,-2.253,-0.448,,-1.258,-1.915,-0.603,0.163,-0.399,1.176,-1.288,0.041,0.84,,-1.7600696,2.3316646,A
156,11.926,-3.976,-2.216,-2.976,1.356,,0.636,0.283,0.73,,1.223,-1.473,-1.159,0.189,-7.9661875,-3.3893478,,A
157,-1.86,1.879,4.068,-2.194,1.455,,-0.657,-2.8,-0.11,-2.231,1.427,3.855,,-0.944,-5.483177,-4.381939,4.768318,E
158,5.386,8.057,-3.051,2.875,3.642,1.222,-0.163,0.192,-0.753,1.037,-3.319,,-1.699,,,,-10.804581,G
159,-4.527,-2.452,-2.095,1.299,,-1.913,-3.048,,-0.554,0.549,,0.247,,1.447,3.492354,-0.15933907,-3.0549912,A
160,-0.159,,-5.562,0.257,-0.87,1.436,,-0.133,0.586,0.297,1.097,-0.555,1.77,-1.664,-0.9652473,0.5788086,2.7318475,G
161,3.102,6.242,2.103,-1.248,0.213,1.395,1.851,1.6,0.417,-0.468,1.751,-1.668,0.488,1.403,-5.068726,-1.0797131,6.5712495,G
162,,-3.661,-0.857,0.385,2.73,,3.167,1.024,-1.7,,1.401,1.546,0.547,1.744,-0.523754,-0.25444353,2.3120506,E
163,1.623,1.235,3.927,-0.677,-3.677,8.863,2.951,-0.353,0.067,-0.478,-2.294,-0.252,0.344,,-2.41816,6.0973387,,B
164,5.148,-2.398,,-1.279,-0.424,-2.434,1.237,,-1.663,-0.461,0.156,-1.747,2.06,-0.528,-2.2683759,-2.7133913,0.89208174,A
165,0.064,-1.32,1.323,3.177,0.063,,-2.225,-0.771,0.889,0.485,0.932,5.307,,7.55,6.9729548,1.3609042,-4.4283466,A
166,1.193,0.317,3.722,,-0.539,2.779,5.081,0.267,-0.446,,-0.376,-4.339,1.478,0.894,0.1508727,2.208,,B
167,,,2.622,1.258,-3.347,,-1.973,-1.723,2.939,0.757,-0.881,1.027,,2.012,4.381376,0.41865215,-5.0646358,A
168,-2.004,-1.73,0.895,-1.197,-0.255,-2.14,-3.069,0.323,-1.807,3.313,-0.781,-1.123,3.248,-0.064,-1.2729832,-1.9935914,-0.96231985,A
169,-7.582,-4.302,0.394,-0.775,3.927,0.055,0.748,-0.927,-0.411,-0.923,-2.646,-0.462,0.588,0.008,0.7493017,0.67201734,-4.044408,E
170,-1.368,-1.16,4.008,1.758,5.76,,-2.089,1.616,-0.719,,-0.897,-0.216,0.204,-1.615,5.012954,1.8393129,,E
171,10.989,-3.524,-2.357,-3.053,0.511,-0.63,0.995,0.582,0.572,,,0.666,0.459,0.099,-6.805207,-3.0264173,4.639751,A
172,1.801,7.258,-5.225,0.346,1.05,0.463,-0.314,,1.046,-0.647,0.455,,0.886,-0.308,0.19987512,0.3652261,0.6437837,G
173,1.791,3.22,0.57,-1.66,-4.478,-1.549,-0.293,3.417,-1.338,-1.197,1.832,,,,-5.080429,,5.5193777,B
174,2.42,,-0.363,-1.684,0.502,1.094,-0.184,-1.018,1.397,-1.386,2.255,0.253,0.652,0.402,-6.4619017,-1.8971045,8.136066,G
175,,-5.677,,-3.71,1.552,1.802,0.397,0.147,2.026,1.674,0.311,-0.434,-0.983,0.7,-9.515104,-2.2520258,8.051347,A
176,,-0.68,4.292,1.606,5.664,0.75,-2.105,-0.782,0.142,-0.533,0.647,-0.397,-0.415,,2.8315234,1.5454,-0.9014218,E
177,-6.001,-4.03,,0.589,1.177,0.615,-0.901,1.113,-0.417,-1.483,-2.271,-3.476,-0.909,,3.3498533,,-5.215141,E
178,-2.032,-2.884,1.113,3.3,-0.221,,4.621,0.656,8.064,-0.517,-0.643,-0.379,2.594,,8.972015,1.9072955,-8.194857,A
179,,-0.998,,4.139,,0.918,,,-0.247,2.824,0.097,,-3.04,0.516,9.170229,4.1257997,-6.1782146,A
180,-2.083,1.022,0.211,-1.779,-5.144,-2.771,-0.661,1.617,-0.928,2.06,1.657,-2.654,2.513,,-4.7628207,-4.103139,4.570545,B
