id,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,label
198,13.0,346.0,26.62,16.18,0.154,0.62,9.2,18.87,3.35,0.28,,0.85,0
199,11.0,500.0,45.45,33.37,0.273,0.36,,19.85,2.88,0.0,,0.55,0
200,,232.0,,33.35,0.5379999999999999,0.15,10.5,13.33,,0.55,,1.0,0
201,40.0,,23.3,21.36,,0.33,0.23,,6.72,0.77,8.65,0.18,0
202,18.0,384.0,21.33,18.73,0.833,0.22,1.5,,3.49,0.0,,0.83,0
203,,470.0,14.24,26.83,0.03,0.12,5.35,8.47,1.2,1.06,5.61,,0
204,72.0,2838.0,39.42,0.58,0.0139999999999999,0.01,,8.18,2.6,0.0,9.0,0.0,0
205,15.0,1154.0,76.93,,0.067,0.4,14.7,16.75,,,8.0,,0
206,13.0,,135.0,110.91,0.615,0.31,0.08,,6.63,0.0,11.0,0.31,0
207,12.0,788.0,65.67,43.21,,0.33,,21.85,3.91,0.51,7.92,0.17,0
208,11.0,,,107.53,,0.18,,22.63,7.39,,11.0,0.0,0
209,,676.0,56.33,,0.25,0.67,6.95,20.57,,,8.33,0.25,0
210,13.0,408.0,,21.12,0.615,0.54,1.02,22.9,6.26,,9.0,,0
211,11.0,647.0,58.82,48.12,0.273,0.55,6.67,16.5,4.05,,9.0,0.55,0
212,,1765.0,,,0.705,0.45,10.47,19.13,2.37,,,0.93,0
213,11.0,262.0,,10.35,0.455,0.27,,22.22,3.83,,9.0,0.36,0
214,14.0,189.0,13.5,2.77,0.286,0.21,22.85,23.98,0.31,0.0,,0.0,0
215,17.0,,,90.73,0.529,0.18,11.1,14.32,0.78,1.18,9.53,1.0,0
216,,1262.0,78.88,155.26,,,13.52,23.6,3.34,1.93,5.63,0.69,0
217,20.0,1459.0,72.95,40.3,0.15,,8.97,16.23,,0.0,,0.8,0
218,24.0,5287.0,,347.68,,0.17,,18.53,4.3,1.52,5.67,0.5,0
219,,1165.0,,148.92,,0.5,8.83,23.67,5.44,,9.0,0.21,0
220,,965.0,74.23,69.92,,,12.72,13.77,0.27,1.11,5.31,,0
221,65.0,1813.0,27.89,49.5,0.631,0.98,9.35,16.67,1.82,,9.0,,0
222,,632.0,22.57,,,0.5,9.25,21.05,2.68,0.31,8.89,0.79,0
223,,418.0,38.0,46.16,0.364,0.09,15.93,20.35,1.27,,,,0
224,11.0,750.0,68.18,98.04,0.727,0.64,4.35,,,,8.82,0.0,0
225,,,313.93,435.67,0.467,0.27,10.12,22.33,4.11,2.79,5.73,0.67,0
226,12.0,875.0,72.92,78.96,,0.25,,19.5,,0.0,10.0,0.5,0
227,16.0,614.0,38.38,20.63,0.25,0.13,,18.18,,0.0,9.0,0.25,0
228,11.0,1651.0,150.09,269.35,0.364,0.18,9.3,18.82,2.45,0.0,,0.73,0
229,30.0,910.0,,21.01,0.367,,9.65,19.53,2.94,,9.0,,0
230,11.0,11907.0,1082.45,112.1,0.364,,20.13,23.47,,,,,0
231,,776.0,23.52,19.38,0.091,0.45,0.68,23.95,4.79,0.0,9.0,0.58,0
232,,475.0,43.18,26.69,1.0,,7.1,19.83,3.93,0.0,9.0,0.36,0
233,13.0,676.0,52.0,66.54,0.6920000000000001,0.46,8.33,19.47,,0.0,9.0,0.69,0
234,11.0,,,35.07,0.364,0.55,6.43,20.15,4.48,0.0,,0.64,0
235,,1134.0,,69.75,0.5710000000000001,,11.37,18.72,2.64,0.85,8.57,0.86,0
236,29.0,1133.0,39.07,19.69,,,9.12,11.52,0.79,0.0,9.0,,0
237,97.0,22097.0,227.8,,,0.99,0.28,,6.14,0.0,9.0,0.43,0
238,15.0,998.0,,49.5,0.3329999999999999,0.6,9.43,18.93,3.15,0.88,8.93,0.8,0
239,,789.0,,,0.4,0.53,12.32,22.12,3.28,1.85,8.0,0.67,0
240,11.0,,,,0.727,0.91,11.43,17.2,,,9.0,1.0,0
241,,319.0,29.0,22.39,0.818,0.18,0.6,23.52,11.08,0.0,,0.0,0
242,36.0,903.0,25.08,13.91,0.0279999999999999,1.0,,,,0.0,9.0,0.5,0
243,12.0,773.0,64.42,38.63,0.583,0.5,8.43,22.35,,,8.33,,0
244,12.0,2602.0,216.83,671.78,0.25,,,,5.93,0.0,9.0,,0
245,11.0,,62.91,56.87,0.273,0.64,12.4,,1.49,,8.82,,0
246,16.0,157.0,9.81,2.86,0.125,0.06,8.9,13.78,1.72,,9.0,0.63,0
247,23.0,1144.0,49.74,39.3,0.391,0.22,6.68,22.1,4.28,0.0,9.0,,0
248,11.0,,56.64,74.81,0.636,0.55,5.23,21.32,5.56,0.0,9.0,0.27,0
249,32.0,,27.75,,0.031,1.0,,,2.11,0.0,9.0,,0
250,16.0,1712.0,107.0,123.85,0.125,,6.87,21.98,3.7,2.41,6.75,,0
251,17.0,,5.24,0.75,0.176,,9.22,12.37,0.88,,7.0,0.65,0
252,22.0,3312.0,150.55,224.99,0.273,0.64,9.85,15.02,2.09,1.53,6.95,0.95,1
253,,8063.0,474.29,663.92,0.294,0.12,9.82,21.67,,0.0,9.0,0.18,0
254,12.0,1186.0,98.83,119.01,0.5,0.75,,21.7,1.79,0.67,,0.25,0
255,,477.0,43.36,85.05,0.727,0.55,5.03,23.9,5.71,0.0,,,0
256,11.0,468.0,42.55,,0.727,0.45,,16.38,2.18,0.93,8.45,0.73,0
257,16.0,1428.0,89.25,90.72,0.5,0.56,7.4,15.95,2.79,1.44,8.06,,0
258,24.0,86.0,,6.08,0.083,0.08,1.18,21.13,7.0,0.0,9.0,,0
259,17.0,2189.0,,300.14,0.059,0.12,,15.27,0.8,0.0,9.0,,0
260,,417.0,32.08,25.07,0.846,0.15,,17.2,1.64,,9.0,1.0,0
261,14.0,551.0,39.36,,0.357,0.71,9.68,18.78,3.34,0.0,9.0,0.57,0
262,11.0,646.0,58.73,89.57,0.182,0.64,10.03,18.77,2.85,0.0,9.0,0.55,0
263,,1395.0,93.0,,0.4,0.13,7.48,,3.89,0.0,,0.4,0
264,11.0,579.0,52.64,,,0.45,9.98,23.45,5.6,,,0.55,0
265,16.0,505.0,31.56,34.65,0.063,0.31,,21.0,3.44,,8.88,0.38,0
266,14.0,,,,0.5710000000000001,,1.33,23.72,5.69,0.27,8.93,0.0,0
267,13.0,,,38.93,,0.23,9.08,,4.25,,9.0,,0
268,11.0,203.0,18.45,9.52,,0.64,,23.48,6.87,0.0,9.0,0.45,0
269,15.0,1276.0,85.07,171.87,0.6,0.4,,,3.5,2.45,,0.47,0
270,,322.0,23.0,9.99,,0.93,10.35,12.23,0.48,0.0,9.0,,0
271,12.0,,27.67,,0.3329999999999999,0.75,11.87,23.93,4.41,0.9,8.5,0.67,0
272,26.0,442.0,17.0,9.24,0.231,,10.55,11.62,0.33,,,1.0,0
273,12.0,546.0,,50.64,0.25,0.5,18.27,22.13,1.63,1.97,7.67,,0
274,22.0,1087.0,49.41,68.37,0.318,0.41,9.97,,1.95,,9.0,0.95,0
275,20.0,582.0,29.1,57.55,0.1,,7.27,22.2,4.66,0.0,9.0,0.3,0
276,,749.0,62.42,33.52,0.667,0.17,,,4.01,0.0,9.0,0.75,0
277,13.0,212.0,16.31,,0.462,0.46,,18.97,3.82,0.28,8.92,0.54,0
278,,,84.8,,,0.33,9.43,10.85,0.42,0.0,9.0,0.6,0
279,12.0,702.0,58.5,,0.833,,6.92,23.62,,0.58,8.83,0.25,0
280,15.0,48331.0,,2901.71,0.267,0.13,5.33,,,0.0,9.0,0.33,0
281,,1009.0,84.08,137.62,,0.33,,22.57,6.94,,,0.08,0
282,11.0,12627.0,1147.91,125.34,0.091,,20.12,23.58,1.15,0.0,,0.0,0
283,12.0,242.0,,13.2,0.5,,5.47,19.0,,0.0,9.0,0.67,0
284,12.0,521.0,43.42,31.32,0.417,0.25,16.08,21.68,1.78,,9.0,0.25,0
285,12.0,163.0,13.58,10.55,0.1669999999999999,,,17.28,1.85,,9.0,1.0,0
286,12.0,,14.17,1.34,0.3329999999999999,0.17,18.63,20.2,0.5,0.0,9.0,0.0,0
287,12.0,703.0,58.58,30.4,0.083,0.25,15.03,22.05,3.06,,9.5,0.25,0
288,19.0,,23.74,17.71,0.947,0.79,13.42,22.45,2.24,,9.0,0.63,0
289,11.0,151.0,13.73,,1.0,0.82,6.73,,0.36,0.47,8.27,0.0,0
290,17.0,402.0,23.65,17.69,,0.59,7.43,19.2,,0.94,8.41,0.35,0
291,12.0,475.0,,,0.667,0.5,9.7,21.5,4.2,0.0,9.0,0.42,0
292,,3103.0,,,0.462,0.46,6.65,22.6,5.25,1.11,8.69,0.62,0
293,,822.0,68.5,,0.1669999999999999,1.0,10.83,,0.45,0.0,9.0,1.0,0
294,13.0,1635.0,125.77,286.63,,0.31,7.42,,6.35,1.56,9.38,0.0,0
295,11.0,416.0,,,0.636,0.45,7.95,17.07,2.98,0.9,8.73,0.64,0
296,29.0,310.0,10.69,9.16,0.31,0.03,0.5,23.5,7.84,0.0,9.0,0.21,0
297,19.0,792.0,41.68,36.2,0.263,0.21,0.05,18.68,4.61,0.32,8.89,0.53,0
298,,382.0,,17.46,0.273,0.36,,21.27,3.19,1.01,8.27,0.91,0
299,17.0,,93.24,108.16,0.059,,7.35,12.85,2.11,0.0,9.0,0.47,0
300,11.0,,94.36,91.95,0.273,0.55,,,6.7,0.81,8.64,0.45,0
301,13.0,427.0,32.85,33.37,0.615,0.85,,22.37,2.65,0.55,,0.69,0
302,12.0,354.0,,24.06,0.75,0.58,12.65,22.27,2.96,0.0,9.0,,0
303,16.0,804.0,50.25,44.67,,,11.85,16.87,1.82,,,1.0,0
304,39.0,297.0,7.62,1.18,0.077,0.03,10.32,22.87,,0.0,6.0,0.74,0
