id,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,label
18,2.114,V,-2.559,-0.544,2.423,,1.956,0.731,0.331,4.0,1.053,0.003,3.334,1.491,1.676,D
19,,,,-1.143,0.248,,-1.273,0.316,0.017,0.0,0.015,-0.001,,-0.538,-0.353,E
20,21.358,T,-2.331,-1.181,-0.828,-1.456,0.269,-0.692,-0.993,-0.527,-0.03099999949336052,-0.015,0.347,0.103,-0.759,G
21,-14.304,,-11.927,,0.251,-0.834,-1.41,1.611,,0.0,0.023,-1.365,,,-0.351,F
22,-9.033,Q,15.346,1.196,-0.309,-1.524,1.582,-0.209,-0.811,3.0,4.039,0.792,,-0.149,0.089,A
23,21.487,U,,-1.421,-0.621,-1.152,-0.223,-0.626,-0.772,1.0,0.49900001287460327,0.036,,0.244,-0.717,G
24,1.265,N,-15.166,-2.112,,3.381,1.548,0.558,-1.634,-2.649,-0.8650000095367432,,,0.772,1.236,K
25,,Y,-1.838,-0.771,,,3.807,1.609,1.432,,0.026000000536441803,-0.077,1.445,1.0,1.2,J
26,,S,-11.685,3.517,-0.525,-0.487,-1.297,-1.956,3.097,-1.836,1.784999966621399,,-2.351,-2.384,,L
27,-0.621,Y,-1.391,0.927,,0.138,,,-0.556,0.0,,1.32,1.892,,0.831,E
28,-3.327,K,-0.232,-1.465,-0.493,,0.452,0.606,-0.274,0.314,-0.2370000034570694,-0.547,,0.572,-0.901,J
29,-13.98,,-10.71,-1.821,0.682,-0.378,,1.2,-1.291,1.0,1.033,,1.218,-0.167,,B
30,-14.7,P,-6.181,-0.924,0.271,,-2.224,,1.308,3.0,4.067,-0.852,1.737,,-0.297,B
31,,,-0.142,1.975,1.066,,3.587,-1.205,-2.851,0.0,,2.76,0.015,-2.572,,B
32,21.367,T,-3.011,-1.505,-0.728,-0.914,0.191,,-0.668,-0.587,-0.11900000274181366,0.071,,-0.052,-0.359,G
33,-10.345,P,12.732,2.568,-0.645,-1.336,-0.577,,-1.94,2.0,4.003,4.558,,0.306,0.313,A
34,-4.01,,,6.021,4.38,-5.543,2.143,-0.508,0.17,1.0,-0.6060000061988831,0.509,,-1.406,-1.174,C
35,,O,,3.357,,-1.757,1.14,3.113,-0.682,1.0,1.017,2.627,0.906,-1.364,-2.003,A
36,-11.582,,,-0.574,0.871,-0.313,,-3.391,3.0,0.0,0.039,0.481,,-0.182,-1.187,A
37,20.947,T,-3.401,-1.136,-1.134,-1.503,0.269,-0.026,-0.512,1.0,1.033,,,,-0.196,G
38,,M,-3.401,-0.843,1.215,-2.207,-0.571,2.885,4.0,1.0,1.01,-0.375,2.295,-0.987,-0.593,C
39,,K,,-1.949,-0.654,-1.864,,0.186,2.0,1.0,1.003,,-0.116,1.053,-0.922,E
40,21.399,U,-2.831,-0.796,,-1.327,,,-0.181,-0.316,-0.052000001072883606,-0.066,0.489,,0.164,G
41,17.317,N,,1.022,,3.142,-0.232,1.798,1.181,0.0,,-1.082,0.61,-0.503,,D
42,21.348,U,-3.056,-1.492,,-1.118,,-0.229,2.0,1.0,-0.10000000149011612,,,0.078,-0.192,G
43,-2.326,J,,0.44,,-1.632,-0.117,,5.0,4.0,-1.1460000276565552,-0.202,-0.766,,-2.37,C
44,21.311,T,-3.277,-1.41,-0.714,-1.031,0.301,,,-0.161,,-0.061,-0.011,-0.184,-0.404,G
45,-12.959,Q,-14.594,,,-0.334,-1.834,,1.098,4.0,1.042,-0.282,0.705,0.721,,F
46,12.889,X,-0.961,4.829,,-0.198,1.395,0.188,4.526,3.0,4.004,,2.179,0.1,-1.574,C
47,-4.686,S,,-0.852,0.958,-0.304,,0.725,2.0,1.0,,3.889,,-0.232,1.301,A
48,,U,,-1.242,-0.725,-1.384,-0.136,-0.702,0.256,-0.904,,-0.171,,0.208,-0.277,G
49,,U,-4.159,-1.544,-0.556,-1.161,-0.372,0.043,,0.0,,,,0.018,0.47,G
50,21.122,,-3.95,-0.947,,-1.073,-0.251,0.108,-0.471,-0.374,-0.43799999356269836,0.219,-0.01,-0.049,0.466,K
51,-3.835,R,,-1.176,-0.455,,-0.447,,2.0,1.0,,-0.458,-0.314,0.155,0.003,A
52,-1.947,,-2.031,7.481,-4.301,3.117,-3.352,0.077,-1.531,,-2.361999988555908,,-0.243,-1.143,3.036,L
53,-3.912,,19.839,-1.234,-1.019,0.785,-0.128,-0.418,1.014,0.0,0.038,-0.674,0.333,0.272,-0.178,A
54,-0.155,M,-14.173,-0.791,0.004,0.489,-1.53,,2.967,1.247,-0.8059999942779541,2.087,,1.116,1.963,K
55,-11.678,U,-12.742,3.302,-1.826,0.96,-0.569,-0.64,0.876,-0.57,,-1.922,-2.045,-1.639,0.498,L
56,-3.043,S,20.249,,-0.503,1.021,-0.502,-0.886,1.076,2.0,4.051,-0.823,-0.237,0.168,0.175,A
57,1.256,J,0.099,0.66,2.367,0.244,-3.285,0.445,-2.665,1.0,1.038,-0.181,-1.785,-0.059,-0.334,E
58,20.212,T,-4.015,-0.781,-0.887,-2.02,-0.127,-1.406,0.909,-1.509,1.6260000467300415,0.142,1.349,0.235,0.236,G
59,,,,-0.871,-0.889,,-0.223,0.153,,0.0,0.042,-0.162,0.158,0.06,0.073,G
60,3.63,Y,-0.77,,4.027,0.141,-2.88,-0.094,3.0,3.0,4.066,-0.71,0.536,,-0.662,E
61,,S,20.166,-1.038,-0.744,0.951,-0.137,-0.692,4.0,2.0,0.3440000116825104,-1.072,-0.013,,,A
62,-1.069,L,-0.407,,0.05,0.303,,-0.348,3.0,0.0,0.01,,-0.554,-0.139,,E
63,-14.312,P,-12.276,-1.839,0.009,-0.16,-1.126,0.531,0.704,4.0,-0.4230000078678131,-0.149,1.66,,0.4,B
64,,S,20.164,-1.134,-0.309,0.827,-0.727,-0.672,0.858,4.0,1.068,-0.12,,0.176,0.19,A
65,-4.751,,,,-0.354,0.325,-1.953,7.097,-2.768,1.0,1.052,1.086,0.43,0.818,-1.702,A
66,,K,-1.693,-0.486,0.53,-1.697,2.316,0.496,0.823,3.0,4.049,-0.149,-0.053,0.019,0.432,C
67,21.422,T,-2.184,-1.362,-0.657,-1.462,,-0.655,-0.81,-0.511,-0.11299999803304672,,0.443,0.06,-0.469,G
68,-4.686,R,,-1.321,,0.267,,,,1.0,1.031,-0.341,-0.17,-0.728,0.215,A
69,11.126,,,2.165,-1.313,0.847,,,3.867,1.214,1.4290000200271606,,,,2.755,K
70,21.262,U,-2.321,-0.485,-0.497,-0.406,,0.292,,,,-0.314,-0.678,0.209,0.62,K
71,20.613,T,-5.336,-1.694,-0.928,-1.173,,-0.279,,-1.725,0.7379999756813049,-0.324,-0.057,0.279,,G
72,-8.679,X,-2.978,-0.412,,-3.799,4.914,1.405,0.995,0.927,0.8259999752044678,-0.453,0.767,0.754,-0.009,J
73,-2.497,,0.637,-1.135,-0.399,0.945,-1.109,-0.243,4.0,1.0,1.013,0.326,-0.242,0.23,,E
74,-1.881,R,19.817,,0.245,,0.211,-0.619,0.156,0.0,-0.10700000077486038,-0.923,-0.817,-0.081,-0.749,A
75,-0.533,L,-0.081,,0.66,,-2.582,-0.769,-0.715,0.0,0.008,0.03,-0.636,-0.841,-0.316,E
76,-11.647,R,,-1.204,0.696,,-0.932,-3.911,1.0,0.0,0.05,-0.263,,1.209,-0.064,F
77,12.689,P,-10.941,,-0.277,,1.428,2.575,-0.888,-1.189,-0.34299999475479126,0.87,-3.654,0.152,1.665,K
78,-3.924,S,,-1.353,-0.607,0.594,0.114,-0.347,1.0,0.0,0.15299999713897705,-0.505,-0.192,0.03,0.137,A
79,21.503,U,-2.723,-1.202,-0.881,-1.348,-0.418,-0.481,,-0.547,0.4309999942779541,-0.051,0.793,,,G
80,-6.997,,14.712,1.456,-1.428,-1.361,0.997,0.806,-1.116,1.0,1.009,1.067,0.476,-0.335,-1.638,A
81,-6.894,T,12.943,,-3.601,-0.462,-0.011,-1.177,-1.579,0.579,0.6069999933242798,,,-2.736,,L
82,-3.856,S,20.039,-1.193,-0.364,0.866,-0.54,-0.566,1.153,4.0,1.054,,-0.03,,0.363,A
83,-3.661,,20.085,-0.91,-0.756,0.8,,-0.774,1.281,4.0,1.028,-0.776,-0.052,0.4,0.126,A
84,,K,-0.546,-1.424,1.228,2.875,-3.219,-0.616,,4.0,1.039,,0.739,-0.505,-0.473,E
85,-14.236,,,-1.985,0.09,,-0.504,0.51,2.0,4.0,-1.1660000085830688,-1.028,0.766,0.376,,B
86,21.025,T,-2.878,-1.355,-0.638,-1.508,,-0.265,,-1.451,0.9409999847412109,-0.169,1.099,,0.766,G
87,-8.971,X,-2.066,-0.112,-0.725,-3.534,4.701,1.199,,,0.4650000035762787,0.159,0.814,0.304,1.08,J
88,,T,-1.761,,-0.036,,,-1.178,0.454,-0.472,0.09000000357627869,-0.352,1.462,0.287,-0.982,G
89,21.151,U,-3.905,-0.887,-0.938,-1.227,-1.072,,0.154,-0.37,,0.056,0.89,0.289,0.898,K
90,-0.732,L,-0.149,,0.639,1.486,-2.321,-0.56,2.0,1.0,1.03,0.465,-0.276,,-0.238,D
91,-14.086,P,-10.781,-1.274,,-1.722,-0.203,-2.211,,4.0,-0.41499999165534973,-1.301,1.724,1.231,0.442,F
92,,K,5.66,7.202,-4.467,0.038,1.209,,,,0.44999998807907104,,0.978,-0.808,-0.521,L
93,-14.63,,-12.312,,0.24,0.16,0.459,-0.651,5.0,4.0,1.016,-1.523,1.161,0.454,0.008,B
94,18.541,,-5.762,-1.532,-0.381,2.093,2.653,1.023,-1.739,-0.179,-1.0290000438690186,0.484,-2.684,-1.132,-0.018,G
95,-6.804,,-2.648,9.019,-1.396,0.752,-0.316,-1.493,0.017,-2.532,0.8679999709129333,-0.829,1.04,-2.151,-1.609,L
96,-3.757,S,19.962,-0.988,-0.821,,,-0.661,1.137,0.0,0.037,-0.569,-0.067,,0.121,A
97,17.33,S,-2.459,,-0.53,-1.076,0.754,,0.992,1.0,1.063,-0.68,2.322,0.006,,G
98,,V,-2.619,2.486,-0.167,3.117,,0.799,0.329,0.0,0.005,,,-3.592,0.302,E
99,,J,,-1.017,-1.722,-2.559,,0.992,1.016,0.958,,,-0.73,0.184,-0.927,J
100,-14.479,P,,-1.389,0.188,-1.078,,1.741,,1.0,-0.20600000023841858,-1.16,1.122,-1.236,-0.492,B
101,-6.274,,17.346,-1.118,-0.239,-0.238,0.789,,-0.8,4.0,1.007,-2.013,0.472,-1.192,-0.686,A
102,,R,18.997,-0.695,-0.455,0.1,0.249,0.4,-0.032,0.0,0.038,0.409,0.157,0.081,-0.134,A
103,-7.9,,14.241,-0.194,-0.946,-1.134,0.304,2.005,-0.742,4.0,-0.609000027179718,-0.933,,-0.132,-0.995,A
104,19.861,Y,-0.872,,0.401,2.591,1.057,,-1.325,,-1.6160000562667847,,1.572,-1.159,-1.295,K
105,-12.833,P,-13.434,-1.578,0.071,-0.514,,-0.563,,0.0,1.156999945640564,-0.244,0.712,-0.17,-0.321,B
106,,U,-3.906,-1.345,-1.167,-1.215,-0.289,,-0.154,-1.157,0.6179999709129333,-0.348,,0.168,-0.225,G
107,,U,-3.263,,,-1.175,,-0.234,-0.459,-0.716,0.20499999821186066,-0.206,0.514,0.184,,G
108,-4.006,S,19.893,-1.061,-0.869,0.847,,-0.709,1.206,2.0,4.045,-1.106,,0.332,-0.249,A
109,,K,-1.848,0.152,2.743,,-0.759,-0.532,-0.042,3.0,4.041,-0.259,,,-1.499,E
110,,,-13.364,-1.502,,,-0.165,1.379,-0.863,4.0,-0.7149999737739563,-0.908,-0.393,-0.675,0.239,D
111,-11.014,P,-12.568,0.923,0.835,-0.721,-2.627,0.043,1.381,1.0,1.059,1.843,-1.522,-1.511,,F
112,-8.661,J,2.932,,-3.971,-0.553,0.161,-1.082,-3.701,,-0.8970000147819519,-5.842,,-3.582,0.098,L
113,-10.414,O,,,-0.508,1.023,-3.221,2.92,-0.305,1.0,1.025,2.12,-0.529,-0.127,0.814,D
114,,T,-11.838,3.04,-0.647,-0.421,2.851,,,0.0,0.017,,1.349,-3.33,-1.268,D
115,18.962,T,-6.858,,,-0.525,-0.61,1.889,2.252,,0.3709999918937683,0.919,-0.739,-0.326,,G
116,21.007,T,-4.09,-1.211,-0.666,-1.112,0.077,-0.604,0.481,-1.15,0.3140000104904175,0.186,,0.019,-0.034,G
117,,T,,0.229,,-0.254,0.912,0.975,-0.105,2.075,-1.4630000591278076,-0.062,,-0.792,0.388,K
118,-2.161,L,-0.351,-2.543,,,-1.279,,2.0,4.0,-1.4509999752044678,0.575,,-0.701,0.016,E
119,,S,3.774,,-0.677,,-0.024,0.244,,4.0,1.009,0.497,1.004,,2.44,E
120,-3.258,L,-0.601,-2.281,,0.267,-0.349,-0.299,5.0,4.0,1.065,0.655,-0.426,-0.12,-0.049,E
121,,U,-2.776,-1.356,,-1.371,-0.172,-0.489,-0.437,,0.23100000619888306,0.117,0.756,0.094,-0.191,G
122,-1.334,I,-2.149,-0.734,0.48,-0.031,-1.089,-0.416,-0.526,3.0,4.019,-0.097,-0.548,-3.23,0.953,E
123,21.399,,-2.697,-1.411,-0.87,-0.98,-0.371,,5.0,4.0,1.021,,,,-0.019,G
124,-4.011,R,,-0.834,0.972,-0.037,-0.921,1.025,3.0,0.0,0.057,3.273,-0.489,-0.102,,F
125,-3.679,S,19.939,-1.071,-0.538,0.657,-0.501,-0.63,1.11,1.0,0.2549999952316284,,,0.597,,A
126,-8.289,S,-12.452,1.86,-0.764,-0.645,1.588,-2.824,1.0,0.0,0.053,1.674,-0.426,-1.316,-0.935,B
127,19.115,L,-0.342,,,2.021,-2.821,,-0.427,1.0,2.578000068664551,0.08,,2.103,-0.551,D
128,,U,-2.097,-1.235,,-1.144,0.269,-1.251,-0.105,-0.636,0.12600000202655792,0.054,0.737,0.288,-0.414,G
129,-13.426,,,-1.714,0.77,-0.302,-0.096,-3.801,-1.556,0.0,-0.21400000154972076,-1.718,,1.88,1.359,B
130,,O,-0.628,,6.44,-4.579,1.036,-1.612,-4.026,1.0,1.042,-1.609,-2.297,,6.112,C
131,-6.163,X,-4.977,,-1.153,,2.17,-0.601,1.257,1.0,-1.284999966621399,2.094,2.007,,1.824,D
132,3.813,,-12.357,,-2.8,0.245,-0.858,0.486,6.187,1.408,1.11899995803833,2.064,-3.514,1.291,1.762,L
133,-10.173,Q,-16.271,-1.347,-0.489,1.276,,-2.363,4.0,2.0,4.056,,-2.007,,0.529,F
134,-3.982,,20.018,,-0.392,0.722,-0.402,-0.544,1.045,0.0,0.014,-0.536,0.043,,,A
135,21.397,U,-2.813,-1.422,-0.925,-1.09,0.181,-0.777,-0.439,-0.819,0.19499999284744263,-0.013,,0.11,,G
136,,,-1.712,-1.407,-0.628,,0.629,-0.413,7.0,1.0,1.065,-0.213,,-1.415,0.015,E
137,-3.012,,20.155,-1.149,-0.437,0.884,,-0.838,1.422,1.0,1.002,-0.675,-0.177,0.041,0.143,A
138,-14.0,P,-13.154,-2.117,,0.074,-0.879,-0.552,5.0,4.0,-0.3310000002384186,-0.859,0.37,0.496,-0.157,B
139,20.435,S,-4.749,-0.983,-0.937,-0.406,0.019,-0.063,-0.128,0.159,-0.531000018119812,,-0.897,,0.56,K
140,,I,0.337,-0.283,,,,,-1.37,1.0,1.0399999618530273,-1.109,1.539,,0.377,E
141,-1.607,L,-0.601,-1.43,1.51,0.874,-0.52,,-0.35,1.0,-0.6320000290870667,,-0.082,0.233,,E
142,20.991,T,-2.528,-1.222,,-1.731,0.166,-1.129,0.075,,0.7870000004768372,0.092,1.304,0.179,-0.511,G
143,,,-1.888,-1.167,-0.831,-1.066,,-0.905,,-0.047,-0.3179999887943268,-0.093,,,-0.545,G
144,-2.703,Y,-6.866,8.652,-6.521,2.486,-0.292,1.646,2.851,-3.358,0.6489999890327454,-0.946,-4.225,,-1.25,L
145,-13.719,P,-12.296,,0.493,-1.351,-1.214,-1.63,1.0,0.0,,-1.011,0.246,0.338,0.051,B
146,21.417,U,-2.493,-1.145,-0.626,,0.1,,-0.764,3.0,4.025,,-0.013,0.095,,G
147,21.339,U,,-1.314,-0.9,-1.207,-0.089,-0.001,3.0,3.0,4.016,-0.038,0.198,-0.122,0.122,G
148,-9.375,U,-14.508,3.088,-0.451,1.031,-0.646,1.294,,-0.605,-0.9330000281333923,-1.556,-0.792,2.145,2.281,L
149,-3.126,S,,,-0.5,1.005,,-0.881,1.152,1.0,1.041,-0.712,-0.162,0.123,-0.006,A
150,-5.798,,,-1.121,,0.429,0.114,-0.199,7.0,1.0,1.04,-0.251,-0.111,,,A
151,21.537,U,-1.99,,-0.67,-1.308,,,-0.484,0.0,0.048,,0.878,0.504,-0.202,G
152,,K,-0.016,-0.471,,1.316,-3.89,0.157,-1.64,1.0,1.037,0.211,-1.35,-0.013,,E
153,-13.094,,,-1.223,0.65,-0.273,-1.768,-0.107,0.238,0.0,0.012,-0.248,,-0.722,0.17,F
154,-3.888,J,,,0.495,,2.665,1.225,1.101,,,-0.664,0.398,1.933,-0.978,J
155,20.954,T,-3.907,-1.019,-0.518,-1.141,0.258,-0.545,,-0.385,-0.41999998688697815,,,0.043,-0.188,G
156,-6.204,Q,18.033,-0.204,-0.786,-0.368,0.345,0.398,-0.302,4.0,-0.9789999723434448,2.021,0.366,-0.229,-0.37,A
157,,T,,6.213,0.591,-0.669,-0.709,0.049,-2.574,-1.45,-0.21799999475479126,-0.566,,4.29,-0.724,L
158,8.363,,-11.366,2.47,-3.037,2.052,-2.134,3.735,1.07,1.967,0.8610000014305115,1.874,-2.574,1.451,1.156,K
159,-4.458,P,-2.359,7.395,-1.238,-0.595,-1.911,-2.225,-0.669,,0.9409999847412109,0.491,2.297,-2.365,1.336,L
160,-10.852,L,-1.756,,-1.044,-2.006,-1.9,4.237,7.0,1.0,1.017,1.06,0.246,-2.521,-2.177,A
161,-3.759,S,20.052,-1.199,-0.633,,-0.418,-0.68,1.167,1.0,,-0.524,,0.236,0.202,A
162,,O,-12.976,-1.62,,,,-0.519,1.391,3.0,4.007,-0.136,,-0.613,0.261,B
163,-5.825,J,,-1.593,-0.022,-0.319,,-0.121,4.0,1.0,1.069,0.281,0.867,0.526,1.56,E
164,-10.04,N,,-2.901,-0.158,3.053,1.531,-0.035,2.0,1.0,1.069,0.422,-1.618,0.354,,D
165,,,-5.32,,-1.202,-0.734,,0.057,,-1.965,,0.592,1.104,,1.176,G
166,-15.073,P,-9.948,0.863,,-0.88,-0.601,1.02,2.0,1.0,-0.42100000381469727,0.403,0.433,-0.305,-1.243,F
167,-5.239,K,-0.792,-1.687,-0.385,-0.013,0.603,-0.411,3.0,3.0,4.0,1.159,0.252,-0.198,0.853,E
168,20.944,T,-4.78,-0.886,-0.986,-1.061,,0.16,-0.092,-0.367,-0.39399999380111694,-0.066,,-0.113,0.379,K
169,-12.305,P,-14.358,-1.483,0.592,,,-1.232,0.843,0.0,0.028,0.307,-0.751,0.28,-0.879,B
170,-2.821,S,,-1.085,-0.313,,,-0.443,0.856,0.0,0.045,,-0.451,,0.239,A
171,-13.883,P,-12.915,-1.676,0.369,-0.113,-1.617,-1.062,1.132,0.0,0.19599999487400055,-0.594,0.813,,,B
172,-7.782,X,0.137,0.349,-1.693,,3.462,1.018,-1.005,0.275,,0.626,-0.554,,-0.43,J
173,-13.423,P,-13.363,-2.063,0.374,,,-0.739,0.852,4.0,-0.9509999752044678,-0.738,1.292,0.793,0.174,F
174,20.309,T,-4.437,-0.673,0.469,0.07,,0.629,-0.437,0.0,0.029,0.184,-0.863,,0.086,C
175,,S,-15.136,1.989,-0.549,0.197,,-3.636,1.0,0.0,0.066,1.594,-2.093,0.448,,B
176,20.32,U,-2.274,0.035,-0.607,0.67,1.855,,-2.213,3.067,-1.527999997138977,-0.462,,-1.564,-1.877,K
177,21.37,,-3.06,-1.417,-0.774,-1.492,-0.329,-0.456,-0.594,-0.886,0.11400000005960464,,,0.157,-0.053,G
178,-3.613,S,20.039,-0.964,,0.737,-0.549,-0.509,1.124,0.088,-0.2639999985694885,,-0.217,,0.189,L
179,-2.725,X,15.364,3.771,-0.307,0.384,,-1.29,,-1.209,-1.0759999752044678,4.341,1.375,1.284,0.837,L
180,-14.239,P,-11.588,-1.106,0.834,,-0.703,-1.553,-2.336,1.0,1.009,-1.076,1.708,1.081,,F
181,,,-14.896,-0.552,-0.135,1.067,,-4.286,0.991,1.0,1.037,0.318,-1.444,,0.029,B
182,-4.355,R,,-1.268,0.378,0.44,-0.025,-0.377,0.283,4.0,1.027,0.751,,-0.268,,A
183,,,-2.804,-0.806,-1.066,-1.464,-0.117,0.165,-0.332,-0.045,-0.5910000205039978,-0.055,-0.008,0.306,0.315,K
184,21.228,U,,-0.854,-0.646,-1.222,0.015,,-0.232,-0.462,0.25,-0.238,0.605,0.322,,G
185,,I,,-1.897,-1.519,-3.006,4.296,0.748,1.551,0.854,-0.8479999899864197,,,0.838,0.148,J
186,-4.3,S,19.507,-1.009,-0.776,0.559,0.206,-0.514,,0.0,0.033,-0.17,0.21,,,A
187,-12.618,P,,-0.611,,,,-1.73,1.0,0.0,0.03,0.219,0.656,,-0.325,B
188,-12.607,S,-3.403,-0.101,-2.25,,,0.579,,0.381,,,2.325,,,J
189,,K,-5.092,7.888,-3.888,1.961,,3.475,,-0.692,,-1.145,1.272,-0.15,4.492,L
190,-3.735,S,20.064,,-0.445,0.864,-0.267,-0.336,1.008,1.0,1.047,-0.366,0.187,0.279,0.157,A
191,-12.242,,-14.839,,-0.494,0.439,,-2.861,1.691,2.0,,,0.112,0.319,-0.082,F
192,-4.901,R,19.328,-0.808,-0.936,,0.548,-0.605,5.0,4.0,1.04,-1.246,0.381,,,A
193,-2.155,R,17.765,0.589,,0.043,0.964,-1.667,2.0,1.0,1.02,0.946,-0.997,-0.346,0.02,A
194,-3.705,S,19.967,-1.063,-0.474,0.888,-0.128,-0.742,5.0,4.0,1.0,0.015,-0.086,-0.156,0.223,A
195,-4.761,T,19.659,-0.998,-0.54,0.567,,-0.649,5.0,4.0,1.016,-0.401,-0.05,0.526,0.473,A
196,1.569,,-0.934,-1.227,,1.775,-3.204,-0.445,1.0,0.0,0.005,-0.105,-0.753,,0.495,E
197,8.103,W,-0.409,,3.355,,,-0.457,-1.897,0.0,0.042,2.006,,0.426,-0.361,E
198,-7.644,I,-2.969,-1.252,-1.159,-1.767,3.749,0.393,1.288,0.044,,-0.045,0.613,0.074,0.822,J
199,20.43,,-4.507,-0.555,-0.456,,0.774,0.481,-0.529,1.278,-1.1080000400543213,0.202,-0.99,,-0.723,G
200,-0.857,,0.376,-1.643,0.406,,-2.135,-0.54,-0.985,0.0,0.027,,,0.541,-0.551,E
201,-13.566,O,,-1.874,-0.341,-0.184,-0.426,,-0.242,2.0,-0.7039999961853027,-0.936,0.751,0.58,-0.699,F
202,-0.528,U,-8.267,10.598,-5.056,2.783,-1.673,2.19,3.171,-0.514,-0.9810000061988831,-0.848,,,2.037,L
203,,N,-6.268,,1.928,-1.935,,,-4.062,0.0,0.023,0.898,1.712,0.075,0.907,F
204,-10.981,P,-13.953,-0.608,-0.229,-0.176,,-1.677,1.0,0.0,0.046,0.468,0.322,1.6,-0.419,F
205,-11.933,Q,-15.2,,0.292,-0.042,-2.466,-1.504,1.877,0.0,-0.6880000233650208,-0.099,-0.001,1.363,0.327,B
206,-4.733,V,,,-2.383,-0.548,-1.051,,-1.434,0.595,-1.027999997138977,1.22,-1.045,-0.371,-0.926,K
207,-3.045,K,1.197,-1.819,-0.263,-0.127,,1.409,-1.474,1.101,1.8609999418258667,-0.669,-1.775,1.89,-1.899,J
208,20.764,V,,-0.972,-1.07,0.032,-1.081,,0.704,0.448,0.7730000019073486,0.953,,0.433,0.955,G
209,,S,20.142,-1.087,,0.929,-0.343,-0.615,2.0,1.0,1.05,-0.6,-0.099,0.261,0.11,A
210,21.046,T,-3.392,-0.479,-0.83,-0.803,0.173,0.315,4.0,1.0,1.066,-0.583,-0.254,0.201,0.164,G
211,1.625,Y,2.018,5.231,14.29,-2.594,3.144,0.783,4.0,2.0,0.3089999854564667,0.868,-0.235,1.311,-4.077,C
212,-7.458,Y,-2.862,-1.076,-0.856,-3.44,,0.904,,0.275,-0.09600000083446503,0.121,1.55,0.861,,J
213,-2.418,,-2.059,-0.679,-1.124,1.504,-0.62,-1.412,,0.0,,0.397,0.208,-0.741,-0.665,E
214,-13.404,Q,-14.0,-1.716,0.698,-0.235,,,,0.0,0.008,,0.428,0.11,0.481,F
215,21.354,T,-2.944,-1.606,-0.846,-0.982,0.253,-0.643,-0.463,-1.108,0.22599999606609344,-0.03,,0.036,,G
216,-11.402,N,11.996,-1.936,-0.674,,0.893,0.87,-1.059,1.0,1.048,-2.288,1.354,,-1.135,F
217,-8.254,P,15.326,-1.391,-0.649,-0.219,1.177,,-0.602,1.0,1.055,-2.148,0.066,-1.424,-0.782,A
218,-6.226,M,11.229,,2.906,0.544,1.205,0.45,7.0,1.0,1.045,3.028,-0.362,-0.114,0.657,A
219,,K,-0.957,-1.998,,-1.074,0.99,0.469,0.359,0.49,0.3630000054836273,,-0.887,0.095,-0.479,J
220,,K,-1.14,-0.928,0.547,1.12,-1.885,,-0.447,0.0,0.057,0.344,0.004,,0.581,E
221,-1.302,,,,9.181,-2.136,3.244,0.102,1.166,4.0,1.001,1.289,0.782,,-5.652,C
